;Unnamed: 0;Ticker;Empresa;Setor;Subsetor;Tipo;Classificação;Name
206;206;JPSA3.SA;JEREISSATI;Financeiro;Exploração de Imóveis;Ordinaria;Small Cap;N/A
207;207;KEPL3.SA;KEPLER WEBER;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Small Cap;Kepler Weber S.A.
208;208;KLBN3.SA;KLABIN S/A;Materiais Básicos;Madeira e Papel;Ordinaria;Big Cap;Klabin S.A.
209;209;KLBN4.SA;KLABIN S/A;Materiais Básicos;Madeira e Papel;Preferencial;Big Cap;Klabin S.A.
210;210;KLBN11.SA;KLABIN S/A;Materiais Básicos;Madeira e Papel;BDR;Big Cap;Klabin S.A.
211;211;LAME3.SA;LOJAS AMERIC;Consumo Cíclico;Comércio;Ordinaria;Big Cap;N/A
212;212;LAME4.SA;LOJAS AMERIC;Consumo Cíclico;Comércio;Preferencial;Big Cap;N/A
213;213;LCAM3.SA;LOCAMERICA;Consumo Cíclico;Diversos;Ordinaria;Mid Cap;N/A
214;214;LEVE3.SA;METAL LEVE;Consumo Cíclico;Automóveis e Motocicletas;Ordinaria;Small Cap;MAHLE Metal Leve S.A.
215;215;LIGT3.SA;LIGHT S/A;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Light S.A.
216;216;LINX3.SA;LINX;Tecnologia da Informação;Programas e Serviços;Ordinaria;Mid Cap;N/A
217;217;LIPR3.SA;ELETROPAR;Utilidade Pública;Energia Elétrica;Ordinaria;Micro Cap;Eletrobrás Participações S.A. - Eletropar
218;218;LOGN3.SA;LOG-IN;Bens Industriais;Transporte;Ordinaria;Small Cap;Log-In Logística Intermodal S.A.
219;219;LPSB3.SA;LOPES BRASIL;Financeiro;Exploração de Imóveis;Ordinaria;Micro Cap;LPS Brasil - Consultoria de Imóveis S.A.
220;220;LREN3.SA;LOJAS RENNER;Consumo Cíclico;Comércio;Ordinaria;Big Cap;Lojas Renner S.A.
221;221;LUPA3.SA;LUPATECH;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Nano Cap;Lupatech S.A.
222;222;LUXM3.SA;TREVISA;Bens Industriais;Transporte;Ordinaria;Micro Cap;Trevisa Investimentos SA
223;223;LUXM4.SA;TREVISA;Bens Industriais;Transporte;Preferencial;Micro Cap;Trevisa Investimentos S.A.
224;224;MAPT3.SA;CEMEPE;Outros;Outros;Ordinaria;Nano Cap;Cemepe Investimentos S.A.
225;225;MAPT4.SA;CEMEPE;Outros;Outros;Preferencial;Nano Cap;Cemepe Investimentos S.A.
226;226;MDIA3.SA;M.DIASBRANCO;Consumo não Cíclico;Alimentos Processados;Ordinaria;Mid Cap;M. Dias Branco S.A. Indústria e Comércio de Alimentos
227;227;MEAL3.SA;IMC S/A;Consumo Cíclico;Hoteis e Restaurantes;Ordinaria;Small Cap;International Meal Company Alimentação S.A.
228;228;MERC3.SA;MERC FINANC;Financeiro;Intermediários Financeiros;Ordinaria;Micro Cap;Creditaqui Financeira S.A. - Crédito, Financiamento e Investimento
229;229;MERC4.SA;MERC FINANC;Financeiro;Intermediários Financeiros;Preferencial;Micro Cap;Creditaqui Financeira S.A. - Crédito, Financiamento e Investimento
230;230;MGEL3.SA;MANGELS INDL;Materiais Básicos;Siderurgia e Metalurgia;Ordinaria;Nano Cap;Mangels Industrial SA
231;231;MGEL4.SA;MANGELS INDL;Materiais Básicos;Siderurgia e Metalurgia;Preferencial;Nano Cap;Mangels Industrial S.A.
232;232;MGLU3.SA;MAGAZ LUIZA;Consumo Cíclico;Comércio;Ordinaria;Mega Cap;Magazine Luiza S.A.
233;233;MILS3.SA;MILLS;Bens Industriais;Construção e Engenharia;Ordinaria;Small Cap;Mills Locação, Serviços e Logística S.A.
234;234;MMAQ3.SA;MINASMAQUINA;Bens Industriais;Comércio;Ordinaria;Nano Cap;Minasmaquinas SA
235;235;MMAQ4.SA;MINASMAQUINA;Bens Industriais;Comércio;Preferencial;Nano Cap;Minasmaquinas SA
236;236;MMXM3.SA;MMX MINER;Materiais Básicos;Mineração;Ordinaria;Nano Cap;N/A
237;237;MNDL3.SA;MUNDIAL;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Nano Cap;Mundial S.A. - Produtos de Consumo
238;238;MNPR3.SA;MINUPAR;Consumo não Cíclico;Alimentos Processados;Ordinaria;Nano Cap;Minupar Participações S.A.
239;239;MOAR3.SA;MONT ARANHA;Financeiro;Holdings Diversificadas;Ordinaria;Small Cap;Monteiro Aranha S.A.
240;240;MOVI3.SA;MOVIDA;Consumo Cíclico;Diversos;Ordinaria;Mid Cap;Movida Participações S.A.
241;241;MRFG3.SA;MARFRIG;Consumo não Cíclico;Alimentos Processados;Ordinaria;Mid Cap;Marfrig Global Foods S.A.
242;242;MRVE3.SA;MRV;Consumo Cíclico;Construção Civil;Ordinaria;Mid Cap;MRV Engenharia e Participações S.A.
243;243;MSPA3.SA;MELHOR SP;Materiais Básicos;Madeira e Papel;Ordinaria;Micro Cap;Companhia Melhoramentos de São Paulo
244;244;MSPA4.SA;MELHOR SP;Materiais Básicos;Madeira e Papel;Preferencial;Micro Cap;Companhia Melhoramentos de São Paulo
245;245;MTIG3.SA;METAL IGUACU;Materiais Básicos;Embalagens;Ordinaria;Nano Cap;Metalgrafica Iguacu SA
246;246;MTIG4.SA;METAL IGUACU;Materiais Básicos;Embalagens;Preferencial;Nano Cap;N/A
247;247;MTSA3.SA;METISA;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Micro Cap;METISA Metalúrgica Timboense S.A.
248;248;MTSA4.SA;METISA;Bens Industriais;Máquinas e Equipamentos;Preferencial;Micro Cap;METISA Metalúrgica Timboense S.A.
249;249;MULT3.SA;MULTIPLAN;Financeiro;Exploração de Imóveis;Ordinaria;Mid Cap;Multiplan Empreendimentos Imobiliários S.A.
250;250;MWET3.SA;WETZEL S/A;Bens Industriais;Material de Transporte;Ordinaria;Nano Cap;Wetzel S.A.
251;251;MWET4.SA;WETZEL S/A;Bens Industriais;Material de Transporte;Preferencial;Nano Cap;Wetzel S.A.
252;252;MYPK3.SA;IOCHP-MAXION;Consumo Cíclico;Automóveis e Motocicletas;Ordinaria;Small Cap;Iochpe-Maxion S.A.
253;253;NORD3.SA;NORDON MET;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Nano Cap;Nordon Indústrias Metalúrgicas S/A
254;254;ODER4.SA;ODERICH;Consumo não Cíclico;Alimentos Processados;Preferencial;Micro Cap;Conservas Oderich S.A.
255;255;ODPV3.SA;ODONTOPREV;Saúde;Análises e Diagnósticos;Ordinaria;Mid Cap;Odontoprev S.A.
256;256;OFSA3.SA;OUROFINO S/A;Saúde;Medicamentos e Outros Produtos;Ordinaria;Small Cap;Ouro Fino Saúde Animal Participações S.A.
257;257;OIBR3.SA;OI;Comunicações;Telecomunicações;Ordinaria;Mid Cap;Oi S.A.
258;258;OIBR4.SA;OI;Comunicações;Telecomunicações;Preferencial;Mid Cap;Oi S.A.
259;259;OMGE3.SA;OMEGA GER;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;N/A
260;260;OSXB3.SA;OSX BRASIL;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Nano Cap;OSX Brasil S.A.
261;261;PARD3.SA;IHPARDINI;Saúde;Análises e Diagnósticos;Ordinaria;Small Cap;N/A
262;262;PATI3.SA;PANATLANTICA;Materiais Básicos;Siderurgia e Metalurgia;Ordinaria;Micro Cap;Panatlântica S.A.
263;263;PATI4.SA;PANATLANTICA;Materiais Básicos;Siderurgia e Metalurgia;Preferencial;Micro Cap;Panatlântica S.A.
264;264;PCAR3.SA;P.ACUCAR-CBD;Consumo não Cíclico;Comércio e Distribuição;Ordinaria;Mid Cap;Companhia Brasileira De Distribuicao
265;265;PDGR3.SA;PDG REALT;Consumo Cíclico;Construção Civil;Ordinaria;Nano Cap;PDG Realty S.A. Empreendimentos e Participações
266;266;PEAB3.SA;PAR AL BAHIA;Financeiro;Holdings Diversificadas;Ordinaria;Micro Cap;Companhia de Participações Aliança da Bahia
267;267;PEAB4.SA;PAR AL BAHIA;Financeiro;Holdings Diversificadas;Preferencial;Micro Cap;Companhia de Participações Aliança da Bahia
268;268;PETR3.SA;PETROBRAS;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Mega Cap;Petróleo Brasileiro S.A. - Petrobras
269;269;PETR4.SA;PETROBRAS;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Preferencial;Mega Cap;Petróleo Brasileiro S.A. - Petrobras
270;270;PFRM3.SA;PROFARMA;Saúde;Comércio e Distribuição;Ordinaria;Micro Cap;Profarma Distribuidora de Produtos Farmacêuticos S.A.
271;271;PINE4.SA;PINE;Financeiro;Intermediários Financeiros;Preferencial;Nano Cap;Banco Pine S.A.
272;272;PLAS3.SA;PLASCAR PART;Consumo Cíclico;Automóveis e Motocicletas;Ordinaria;Nano Cap;Plascar Participações Industriais S.A.
